iter	Logloss
0	0.6815732032
1	0.6699599569
2	0.6588770244
3	0.6531926377
4	0.6431332219
5	0.6374936052
6	0.6286428495
7	0.6232761064
8	0.6157852168
9	0.6060716531
10	0.601374893
11	0.5950420211
12	0.5886191945
13	0.581368329
14	0.5741339297
15	0.5663862275
16	0.5592004689
17	0.5531419102
18	0.5495414781
19	0.5438878032
20	0.5377735079
21	0.5325562731
22	0.527265195
23	0.5226710598
24	0.5183994163
25	0.5127809843
26	0.5087211087
27	0.5045881863
28	0.5004345152
29	0.4967214448
30	0.4929068382
31	0.488680183
32	0.4848857263
33	0.4816143818
34	0.4783457526
35	0.4760075354
36	0.4731845732
37	0.4715377124
38	0.4691804482
39	0.4679135861
40	0.4646290829
41	0.4614573648
42	0.4596641877
43	0.4574938026
44	0.4549553712
45	0.4519969814
46	0.4501054622
47	0.447869362
48	0.4453818703
49	0.4434803581
50	0.4422013303
51	0.4398581019
52	0.4380972807
53	0.4365482366
54	0.4351089698
55	0.4332494373
56	0.4318424365
57	0.4301555347
58	0.4285045311
59	0.4266500927
60	0.4261034744
61	0.4254820794
62	0.4241799259
63	0.4227644829
64	0.4218512481
65	0.4206961743
66	0.4189929323
67	0.4176370341
68	0.4165353541
69	0.4153608156
70	0.4149688749
71	0.4138106041
72	0.413437233
73	0.4124084795
74	0.4120291546
75	0.4112023988
76	0.4104976552
77	0.4102010713
78	0.4089769279
79	0.4085724609
80	0.407535146
81	0.406639145
82	0.4058661055
83	0.4056397195
84	0.4053710471
85	0.4046749222
86	0.404375752
87	0.4039432413
88	0.4037216757
89	0.4026730776
90	0.4017779247
91	0.4016148799
92	0.4004453444
93	0.4002480662
94	0.3995569981
95	0.3986751793
96	0.3981446611
97	0.3974525894
98	0.396635013
99	0.3959237566
100	0.3956104427
101	0.3950838699
102	0.3943578643
103	0.3936570763
104	0.3930038904
105	0.3920433004
106	0.3911558401
107	0.3906511318
108	0.3901146589
109	0.3896581761
110	0.3893555777
111	0.3889139458
112	0.3882294053
113	0.3878947677
114	0.3868788738
115	0.386292717
116	0.3855559602
117	0.3849580938
118	0.3847439781
119	0.3844322964
120	0.3837850321
121	0.3834169034
122	0.3833393115
123	0.383290782
124	0.3830205526
125	0.3826083149
126	0.3824779356
127	0.3822216006
128	0.3820646737
129	0.3815610901
130	0.3810680969
131	0.3807957601
132	0.3804420722
133	0.3800552098
134	0.3799254489
135	0.3796057842
136	0.3794524011
137	0.3790110267
138	0.3786541962
139	0.3777429025
140	0.3772477787
141	0.3768895415
142	0.3767469671
143	0.3765332321
144	0.3762843331
145	0.3759718881
146	0.3756407847
147	0.3754363293
148	0.3751377068
149	0.3747541368
150	0.3744320371
151	0.3740625405
152	0.3738737424
153	0.3734850222
154	0.3728450206
155	0.3724152491
156	0.3722135726
157	0.3716955959
158	0.3715820719
159	0.3714341375
160	0.371148631
161	0.3711392019
162	0.3709076298
163	0.3708034779
164	0.3706993863
165	0.3706761604
166	0.3703978513
167	0.3703234064
168	0.3703164185
169	0.3701320725
170	0.3699289592
171	0.3696964897
172	0.3695090854
173	0.369253475
174	0.3691391917
175	0.3688534884
176	0.3687315123
177	0.3687133152
178	0.368438257
179	0.3677578276
180	0.3676772671
181	0.3670325733
182	0.3669645782
183	0.3663097697
184	0.3663042593
185	0.3657513573
186	0.36563154
187	0.3653136139
188	0.3651095059
189	0.3649923545
190	0.3646411636
191	0.3644550277
192	0.3644528188
193	0.3641134754
194	0.3636672379
195	0.363483988
196	0.363205481
197	0.3631992905
198	0.3631219563
199	0.3628758392
200	0.3627663694
201	0.3624656739
202	0.3622976161
203	0.3620342349
204	0.3617143363
205	0.3613313231
206	0.3609087495
207	0.3608711757
208	0.3607451048
209	0.3606363873
210	0.3606214458
211	0.3605937977
212	0.3604132511
213	0.3600935026
214	0.3597770399
215	0.3596830536
216	0.3594726808
217	0.358962973
218	0.358683454
219	0.3586831265
220	0.3584834197
221	0.3584770662
222	0.3584069812
223	0.3581513842
224	0.3579854312
225	0.3579112517
226	0.3578171187
227	0.3577752595
228	0.3577039552
229	0.3575979748
230	0.3571201775
231	0.3570609695
232	0.3565143481
233	0.3564518129
234	0.3560632912
235	0.3559469734
236	0.3558169305
237	0.3557031907
238	0.3556357242
239	0.3554488924
240	0.355447858
241	0.3552973276
242	0.3548374102
243	0.3544742659
244	0.3541549453
245	0.353971728
246	0.3538429465
247	0.3533341803
248	0.3531804686
249	0.3531346322
250	0.3526936515
251	0.3526936366
252	0.3525605468
253	0.3524656776
254	0.3522515447
255	0.3518760003
256	0.3516425097
257	0.3514057759
258	0.3511780677
259	0.3510509659
260	0.350957795
261	0.3508343983
262	0.3506901872
263	0.3505356297
264	0.3503827167
265	0.3500866798
266	0.3500710056
267	0.3497574529
268	0.3496983059
269	0.349360326
270	0.3491240584
271	0.3488519675
272	0.3487921124
273	0.348676058
274	0.3485428302
275	0.3483777092
276	0.3482589144
277	0.3482524276
278	0.3481574852
279	0.3478666683
280	0.3477885047
281	0.3477049958
282	0.347348841
283	0.3471621867
284	0.3471207515
285	0.3470447974
286	0.3470231859
287	0.3469561462
288	0.3466545735
289	0.3462701397
290	0.3462153954
291	0.3462141031
292	0.3461075363
293	0.3459022618
294	0.3456714606
295	0.34554437
296	0.345483747
297	0.345483212
298	0.3452318075
299	0.3451005826
300	0.344590457
301	0.3445095064
302	0.3444267036
303	0.3443440554
304	0.3440491238
305	0.3439814113
306	0.3438387391
307	0.3438153758
308	0.3434151582
309	0.3431986663
310	0.3428616398
311	0.3423356206
312	0.3421092167
313	0.3419929202
314	0.3417624629
315	0.3413605564
316	0.3411539483
317	0.3406502331
318	0.340520942
319	0.3403199941
320	0.3402582108
321	0.3400846277
322	0.339929843
323	0.3397850869
324	0.339685456
325	0.3394301231
326	0.3393058717
327	0.3392835816
328	0.3391500095
329	0.3388448811
330	0.3386681347
331	0.338492272
332	0.3383191453
333	0.3383165541
334	0.3382703874
335	0.3381897463
336	0.3381567776
337	0.3381286628
338	0.3381274019
339	0.3381093432
340	0.3380763872
341	0.3380763872
342	0.3377537667
343	0.337519383
344	0.3374648621
345	0.3373680263
346	0.3370989103
347	0.3369703073
348	0.3368536162
349	0.3365790542
350	0.3364132017
351	0.3360965189
352	0.3359767915
353	0.335875114
354	0.3357727014
355	0.3357067464
356	0.3355253218
357	0.3354293097
358	0.335412341
359	0.3353514174
360	0.3353350536
361	0.3353349941
362	0.3352812873
363	0.3352481727
364	0.3346654342
365	0.3346639836
366	0.3346496889
367	0.3344068388
368	0.3342417824
369	0.3341189028
370	0.3339483432
371	0.3339289056
372	0.3337467668
373	0.3333224648
374	0.3332006671
375	0.3331879135
376	0.3331007413
377	0.3329519943
378	0.3328467791
379	0.3326392031
380	0.3324709169
381	0.3324569566
382	0.3320103778
383	0.3316884662
384	0.3315751974
385	0.3315597563
386	0.3309988767
387	0.3306197161
388	0.3304540433
389	0.330438884
390	0.3302706297
391	0.3299579532
392	0.3296726664
393	0.3294999366
394	0.3292940201
395	0.329239457
396	0.3288603778
397	0.3285812935
398	0.3284054882
399	0.3282843639
400	0.3279260148
401	0.3274602885
402	0.327367182
403	0.3272605764
404	0.327000783
405	0.3269535864
406	0.3266739347
407	0.3266146524
408	0.3265484173
409	0.3262284724
410	0.3261127073
411	0.3260749822
412	0.3260693668
413	0.3260290557
414	0.3259500632
415	0.3259004251
416	0.325855197
417	0.3257651715
418	0.3255874486
419	0.3254348628
420	0.3253122727
421	0.3253049272
422	0.3250656193
423	0.3249298621
424	0.3247951415
425	0.3245308433
426	0.3241960179
427	0.3239911554
428	0.3238830211
429	0.3237639748
430	0.3236874609
431	0.3235786821
432	0.3234031274
433	0.3233379008
434	0.3232431277
435	0.3231492967
436	0.3231008755
437	0.32285299
438	0.3226654129
439	0.3225927365
440	0.3225868936
441	0.3224989516
442	0.3222862938
443	0.3220986584
444	0.3217347767
445	0.3216986913
446	0.3214924303
447	0.3214858152
448	0.3208593908
449	0.3206586259
450	0.3205765908
451	0.3202578177
452	0.3197850714
453	0.3192906318
454	0.319240662
455	0.3186281653
456	0.3185954824
457	0.3182224877
458	0.3182131106
459	0.3180843368
460	0.3180738504
461	0.3179291481
462	0.3173948468
463	0.317200432
464	0.3170716113
465	0.3170202309
466	0.3169808568
467	0.3166816793
468	0.3166553142
469	0.3163939156
470	0.3162772461
471	0.3162265299
472	0.3161947748
473	0.3160376573
474	0.3158548907
475	0.3157154162
476	0.3156045246
477	0.3155541706
478	0.3154078659
479	0.3152522114
480	0.3151707288
481	0.3151005979
482	0.3150658001
483	0.3150441089
484	0.3149106113
485	0.3145606894
486	0.314438136
487	0.3141614611
488	0.3140994888
489	0.3140093921
490	0.3138370948
491	0.3136759284
492	0.3130634949
493	0.3129992686
494	0.312670166
495	0.3125075943
496	0.3124475035
497	0.3123868137
498	0.3123746045
499	0.3121806145
