iter	Passed	Remaining
0	19	9818
1	43	10841
2	65	10907
3	75	9360
4	102	10141
5	120	9916
6	135	9541
7	163	10066
8	182	9979
9	219	10744
10	231	10291
11	253	10313
12	271	10156
13	297	10334
14	328	10633
15	360	10901
16	409	11629
17	459	12310
18	485	12294
19	532	12774
20	571	13040
21	609	13248
22	639	13259
23	654	12974
24	668	12706
25	698	12727
26	739	12962
27	769	12974
28	789	12818
29	816	12799
30	845	12788
31	874	12787
32	902	12777
33	933	12790
34	963	12798
35	978	12611
36	1007	12605
37	1021	12422
38	1036	12254
39	1046	12039
40	1075	12034
41	1104	12045
42	1128	11998
43	1158	12005
44	1186	12000
45	1215	11994
46	1242	11971
47	1288	12135
48	1315	12112
49	1342	12085
50	1370	12064
51	1398	12044
52	1428	12050
53	1455	12022
54	1482	11990
55	1513	12000
56	1541	11977
57	1568	11951
58	1595	11927
59	1622	11897
60	1636	11778
61	1645	11626
62	1671	11595
63	1699	11575
64	1726	11554
65	1752	11524
66	1780	11504
67	1806	11479
68	1836	11473
69	1873	11506
70	1883	11378
71	1910	11356
72	1928	11282
73	1955	11258
74	1965	11136
75	1991	11110
76	2014	11067
77	2028	10973
78	2054	10948
79	2077	10908
80	2105	10893
81	2133	10873
82	2159	10850
83	2169	10745
84	2183	10662
85	2211	10644
86	2224	10562
87	2242	10500
88	2251	10398
89	2278	10378
90	2306	10367
91	2316	10273
92	2353	10300
93	2363	10206
94	2406	10258
95	2433	10241
96	2460	10222
97	2487	10204
98	2514	10184
99	2541	10166
100	2568	10145
101	2594	10121
102	2622	10107
103	2649	10087
104	2676	10067
105	2703	10048
106	2762	10145
107	2795	10144
108	2823	10126
109	2851	10108
110	2877	10085
111	2904	10061
112	2932	10042
113	2972	10065
114	2999	10040
115	3026	10018
116	3054	9999
117	3081	9975
118	3107	9948
119	3129	9909
120	3157	9888
121	3184	9865
122	3199	9806
123	3214	9745
124	3240	9721
125	3267	9697
126	3293	9673
127	3320	9650
128	3348	9629
129	3374	9604
130	3401	9579
131	3428	9558
132	3454	9532
133	3491	9537
134	3518	9513
135	3546	9491
136	3568	9454
137	3597	9437
138	3624	9412
139	3652	9391
140	3690	9396
141	3716	9369
142	3744	9347
143	3771	9324
144	3812	9333
145	3840	9310
146	3866	9285
147	3894	9263
148	3921	9237
149	3949	9216
150	3975	9188
151	4011	9184
152	4038	9159
153	4065	9134
154	4093	9110
155	4119	9084
156	4147	9060
157	4175	9037
158	4201	9011
159	4228	8986
160	4255	8959
161	4264	8898
162	4291	8872
163	4326	8863
164	4351	8834
165	4373	8798
166	4398	8771
167	4417	8729
168	4431	8679
169	4459	8656
170	4486	8631
171	4514	8609
172	4558	8616
173	4585	8590
174	4611	8564
175	4640	8543
176	4667	8518
177	4678	8463
178	4704	8436
179	4733	8415
180	4761	8391
181	4788	8365
182	4815	8341
183	4842	8316
184	4856	8268
185	4883	8243
186	4909	8218
187	4936	8191
188	4963	8167
189	4988	8139
190	5016	8115
191	5041	8088
192	5052	8036
193	5078	8009
194	5104	7984
195	5131	7958
196	5159	7935
197	5173	7890
198	5199	7865
199	5241	7862
200	5268	7836
201	5294	7811
202	5321	7784
203	5347	7759
204	5376	7737
205	5403	7712
206	5429	7685
207	5458	7663
208	5486	7639
209	5508	7607
210	5519	7559
211	5533	7516
212	5559	7490
213	5592	7474
214	5620	7449
215	5647	7424
216	5674	7400
217	5703	7377
218	5730	7352
219	5740	7306
220	5766	7280
221	5776	7234
222	5790	7193
